Nombre,Correspondencia,ID,Tiempo,Flujo
PANTITLAN,Estacion Terminal y Correspondencia Linea 1 5 y 9,20,6,31.623
AGRICOLA ORIENTAL,N/A,123,0,2.323
CANAL DE SAN JUAN,N/A,124,0,2.848
TEPALCATES,N/A,125,0,4.985
GUELATAO,N/A,126,0,3.883
PEÑON VIEJO,N/A,127,0,2.727
ACATITLA,N/A,128,0,3.817
SANTA MARTA,N/A,129,0,7.384
LOS REYES,N/A,130,0,4.709
LA PAZ,Estacion Terminal,131,0,10.378
